id,lang,query,query_zh,proposed_task_type,proposed_skill,difficulty,note,label_task_type,label_skill,annotator
"Q001","zh","做一个移动端打卡 app","","prototype","m3-habit-app","easy","mobile + habit tracker","","",""
"Q002","zh","帮我做一个记账 app 的首页，iOS 风格","","prototype","mobile-app","easy","iOS excludes m3","","",""
"Q003","zh","做一个电商后台的订单管理页面，深色主题","","prototype","qiaomu-dashboard","easy","","","",""
"Q004","zh","给我们的 AI 会议纪要产品做一个官网首页","","prototype","qiaomu-landing","easy","landing = prototype","","",""
"Q005","zh","做一个宠物领养 app，要可爱一点","","prototype","promax-pet-app","easy","","","",""
"Q006","zh","设计一个医院门诊的数据看板","","prototype","promax-health-dashboard","easy","","","",""
"Q007","zh","做个设置页面，要有账号、通知、删除工作区这些","","prototype","qiaomu-settings","easy","","","",""
"Q008","zh","做一个三步的机票预订流程页面","","prototype","qiaomu-wizard","easy","","","",""
"Q009","zh","给我做个个人作品集网站，我是产品设计师","","prototype","qiaomu-portfolio","easy","","","",""
"Q010","zh","做一个产品即将上线的预约页，带倒计时","","prototype","qiaomu-coming-soon","easy","","","",""
"Q011","zh","用毛玻璃风格做一个音乐播放 app 首页","","prototype","style-glassmorphism","easy","explicit style","","",""
"Q012","zh","做一个瑞士风格的设计杂志首页","","prototype","skill-swiss-design","medium","swiss + web = prototype not ppt","","",""
"Q013","zh","做一个儿童英语学习 app，黏土质感的","","prototype","style-claymorphism","easy","","","",""
"Q014","zh","帮我把这个功能列表做成苹果那种 bento 网格页面","","prototype","style-bento-grid","easy","","","",""
"Q015","zh","做一个专注计时器 app，四个页面并排展示","","prototype","huashu-ios-tiled-prototype","medium","multi-screen tiled","","",""
"Q016","zh","做一份公司年度战略汇报 PPT","","ppt","slides-style-swiss-cobalt","easy","","","",""
"Q017","zh","帮我做一个融资路演的 deck，要大胆一点","","ppt","slides-style-creative-voltage","easy","","","",""
"Q018","zh","给新员工入职培训做一套幻灯片，温和友好一些","","ppt","slides-style-daisy-days","easy","","","",""
"Q019","zh","做一个研究生答辩用的 PPT，20 页左右","","ppt","slides-style-notebook-tabs","medium","notebook vs kami-research","","",""
"Q020","zh","做一份日本文化展览的介绍幻灯片","","ppt","slides-style-japanese-paper","easy","","","",""
"Q021","zh","把这份 Q3 经营数据做成两页的高管报告","","document","document-data-visualization-report","easy","","","",""
"Q022","zh","帮我写一份一页纸的决策备忘录，关于是否自建客服系统","","document","document-decision-memo","easy","","","",""
"Q023","zh","把我的经历整理成一页简历","","document","document-resume","easy","","","",""
"Q024","zh","做一份给合作伙伴的试点合作提案","","document","document-branded-proposal","easy","","","",""
"Q025","zh","帮我看看这篇文章哪里写得不好，给出修改稿","","document","document-writing-quality-review","medium","review not generation","","",""
"Q026","zh","做一张音乐节的海报，8 月 23 日上海","","image","image-event-poster","easy","","","",""
"Q027","zh","给我们奶茶店做一张买一送一的促销海报","","image","image-promotion-poster","easy","","","",""
"Q028","zh","做一个小红书的封面图，主题是「配色研究」","","image","image-instagram-carousel-cover","easy","","","",""
"Q029","zh","给我们潮牌设计一个吉祥物，要有多个姿势和表情","","image","image-brand-character","easy","","","",""
"Q030","zh","做一个 10 秒的产品发布动画，用帧动画","","hyperframes","","easy","explicit hyperframes","","",""
"Q031","en","Build a habit tracker app in Material Design","做一个 Material Design 风格的习惯打卡 app","prototype","m3-habit-app","easy","","","",""
"Q032","en","I need a mobile onboarding flow for a meditation app","我需要一个冥想 app 的移动端引导流程","prototype","mobile-app","easy","","","",""
"Q033","en","Design a crypto trading terminal with order book and watchlist","设计一个带订单簿和自选列表的加密货币交易终端","prototype","bergside-trade-terminal","easy","","","",""
"Q034","en","Make a dark SaaS landing page for our AI note-taking tool","给我们的 AI 笔记工具做一个深色 SaaS 落地页","prototype","qiaomu-landing","easy","","","",""
"Q035","en","Landing page for a CLI deploy tool. Terminal vibes.","给一个 CLI 部署工具做落地页，终端风格","prototype","hallmark-terminal-landing","easy","","","",""
"Q036","en","A warm serif landing page for a team wiki product","给团队 wiki 产品做一个暖色衬线字落地页","prototype","impeccable-serif-landing","easy","","","",""
"Q037","en","Website for my local coffee roastery with menu and hours","给我的本地咖啡烘焙店做网站，有菜单和营业时间","prototype","hallmark-artisan-landing","easy","","","",""
"Q038","en","Product analytics dashboard: WAU trend + signups by channel","产品分析仪表盘：周活趋势和分渠道注册","prototype","impeccable-insight-dashboard","easy","","","",""
"Q039","en","Ops dashboard for a solar fleet monitoring SaaS","光伏电站监控 SaaS 的运维仪表盘","prototype","skill-interface-design","medium","interface-design vs m3-ops","","",""
"Q040","en","Admin settings console with notification preferences and a job table","带通知偏好和任务表的管理设置控制台","prototype","jp-ops-console","easy","","","",""
"Q041","en","Portfolio site for an illustrator. Dark and editorial.","给插画师做作品集网站，深色编辑风","prototype","qiaomu-portfolio","easy","","","",""
"Q042","en","Coming soon page with waitlist for our hardware launch","我们硬件发布的即将上线页，带候补名单","prototype","qiaomu-coming-soon","easy","","","",""
"Q043","en","Checkout wizard: cart → address → payment → done","结账向导：购物车、地址、支付、完成","prototype","qiaomu-wizard","easy","","","",""
"Q044","en","Settings page with a danger zone to delete the account","带删除账号危险区的设置页","prototype","qiaomu-settings","easy","","","",""
"Q045","en","Music streaming app home screen in glassmorphism","毛玻璃风格的音乐流媒体 app 首页","prototype","style-glassmorphism","easy","","","",""
"Q046","en","Neubrutalist site for a creative studio","给创意工作室做新野兽派网站","prototype","style-neubrutalism","easy","","","",""
"Q047","en","Synthwave promo page for a retro game night","复古游戏之夜的合成波宣传页","prototype","style-retro-futurism","easy","","","",""
"Q048","en","A minimalist product page for a research notes app, no gradients","研究笔记 app 的极简产品页，不要渐变","prototype","skill-minimalist","easy","","","",""
"Q049","en","Brutalist terminal landing for a deploy orchestrator","部署编排工具的野兽派终端落地页","prototype","skill-brutalist","medium","brutalist vs hallmark-terminal","","",""
"Q050","en","High-converting sales page for a reporting automation SaaS: one CTA and FAQ","报表自动化 SaaS 的高转化销售页：单一 CTA 加 FAQ","prototype","skill-mengto-landing","easy","","","",""
