id,lang,query,query_zh,proposed_task_type,proposed_skill,difficulty,note,trace_id,day,agent,label_task_type,label_skill,annotator
"Q001","zh","设计一个保单管理的app，主要服务于中文用户，保单来源主要是本地文件导入","","prototype","mobile-app","easy","","d3bb693d7e92fe6ea64ab64b52353553aed0c0bf7dfaa9a488d5743583f64541","2026-08-31","deepseek-harness","","",""
"Q002","zh","帮我设计一个中控项目的UI，要求如下：1. 需要支持模式切换，有以下模式：参观模式、会议模式、讲解模式、离开模式，模式直接会相互替换，用状态显示是否当前模式；2. 会议室环境数据，显示：温度、湿度、甲醛、二氧化碳、有机污染、当前空气等级；3. 会议拨号页面：拨号盘数字九宫格、删除、拨号挂断等，最近通话话列表；4. 灯光控制：全开模式、全关模式、电影模式、夜灯模式；","","prototype","","medium","control-room UI with modes; desktop console","ebb3ae49-86dc-4c10-ad47-30529a789b10","2026-08-28","claude","","",""
"Q003","zh","帮我画一个光纤网络路由图，中间是机房光纤配线柜，从上到下一共7组光纤接口，一组6行12列（接口用空心小圆点表示）；左边是室外ODF配线柜，从上到下一共8组，每组8行12列；右边是设备机柜，从上到下依次是流服务器、录像机1、录像机2、交换机1、交换机2、交换机3、光端机组2、光端机组1、视频解码器、录像机3、录像机4","","?","","hard","network topology diagram; no profile fits","e881c169-ed80-4408-b9b7-48179bb592d6","2026-08-30","deepseek-harness","","",""
"Q004","zh","设计一个现代社交应用的首页和详情页。首页包含：用户头像、动态信息流、底部导航栏（首页、搜索、发布、消息、个人中心）。详情页包含：用户资料、动态内容、评论区、点赞分享功能。风格要求：现代简约、年轻化、使用蓝色系主色调。","","prototype","mobile-app","easy","","db95afc29f5749fabb7895b4466af6f327fea518d1ab09206126b4dba5f922f3","2026-08-23","amr","","",""
"Q005","zh","制作一个介绍vscode这款软件的ppt，介绍时间五分钟以内","","ppt","","easy","","8499062fb3263d8d56e7f78a0012431538c7650f72b1ec2237a73d311f1fd045","2026-08-22","byok-opencode","","",""
"Q006","zh","WebGL / Three.js 制作一个 机械键盘 3D 模型","","prototype","","hard","WebGL 3D model","019a72d98a69e631ea1ba4f42cd803f7bfd2a3d11e48e7fc690cf06ad9612fa3","2026-08-31","antigravity","","",""
"Q007","zh","设计一个 SaaS 等待列表（Waitlist）登录页面。现代、高端、有冲击力。包括：品牌logo占位区、产品价值主张标题、简短描述、邮箱输入框+CTA按钮、社交证明（如'已有XXX人加入等待列表'）。设计风格偏向Linear/Awwwards风格，使用深色主题，带有一些微妙的动效。输出完整的HTML/CSS/JS代码，自包含在一个文件中。","","prototype","qiaomu-coming-soon","easy","waitlist page, dark Linear style","5a9958dc4f352433b6e4b009468b4439c96723c4fbd920b056d4d18f3eb40864","2026-08-28","pi","","",""
"Q008","zh","我要做一个Windows桌面端的小说阅读程序，用WPF做原生桌面开发，这是需求文档：""D:\Projects\TechTao\ReadOnly\ReadOnly一阶段需求文档.md""。根据需求文档为我设计软件界面和交互，设计风格符合Fluent Design。配色应该轻松愉悦，小说阅读程序需要长时间注视，不能使用对眼睛负担重的配色，但也不要只用黑白灰，这样过于单调。交互逻辑要以鼠标+键盘快捷键为主，不要用移动端的交互设计。不要修改任何已有的代码或文档。","","prototype","","hard","desktop WPF app UI; Fluent","805058e19ce06078c61e170c3987f8bf39e0577262a9ecf3a5aa6d8c158506a8","2026-08-21","opencode","","",""
"Q009","zh","你作为资深的UI/UX设计大师，帮我结合当前项目需求，帮我设计一个微信小程序版的达人（接单人）接单大厅原型页面，要求html单页面，需要帮助达人快速决策并接单，文件存放到html-v2目录，设计规范请不要参考之前项目的设计，而是由你独立规划设计","","prototype","mobile-app","easy","WeChat mini-program","43f9b9b22d6ff9ceb52795e8273860983fde16aca80e6ab6b6b28eaa35cb6345","2026-08-28","amr","","",""
"Q010","zh","根据这个文件，生成一个ppt，给领导汇报使用","","ppt","","easy","from attached file","2af36ffb-2b49-42cb-9c0f-52d649f06ea0","2026-09-01","claude","","",""
"Q011","zh","设计一个PON网络资源概括的统计视图web页，数据卡片包括：①OLT设备数量、及其区域分布的饼图(南京各区)，②PON口数量、PON口利用率、故障PON口占比数、及PON口类型和PON","","prototype","impeccable-insight-dashboard","medium","telecom stats dashboard","579a2db83b16fee444c5d41db0fda88a941f96939f8b70b61bce48f37ee1c571","2026-08-21","cursor-agent","","",""
"Q012","zh","我们需要制作“杏林煜智”这款App的说明书，A4幅面的。相关资料都在当前的工作空间内，主要在“项目文档”中。请先阅读相关文档，然后我们来讨论说明书的框架和内容风格。","","document","document-docx-workspace","medium","A4 manual; discussion first","c385732e05ca1951c7e834a59ee50e3f415cd89f12442545b7dacd3aabf36e66","2026-08-21","claude","","",""
"Q013","zh","打算做一个驾校培训的小程序，我们来一起讨论一下。","","prototype","mobile-app","medium","discussion-first phrasing","eaa879c3-ea02-4a20-893e-e8d69e94a5b2","2026-08-30","deepseek-harness","","",""
"Q014","zh","我想制作如何自建vless+reality+vision代理的分享ppt，面向用户为小白，要求包含从选机到使用的完整流程","","ppt","slides-style-notebook-tabs","medium","tutorial deck for beginners","6aee3d6672d81df5770fa316c05dd674e7c23436a64a006b244a1f4b95483fb6","2026-08-31","antigravity","","",""
"Q015","zh","你知道睡眠革命这本书吗，其中提到了人的一个睡眠周期大约是 90min，我自己实验了一下，如果我在睡觉之前预估一个入睡时长跟我想要起床的时间，来计算出我可以睡几个睡眠周期，然后根据计算出来的起床时间在系统的闹钟应用里设置一个闹钟，但是这样太繁琐了，帮我设计一个iOS端的以睡眠周期为粒度的闹钟应用，应用的名字叫眠刻","","prototype","mobile-app","easy","iOS alarm app","5f3536612ae6510888b68babae1e25bfd39da29c36163ae55fa855245a4e31c1","2026-08-30","codex","","",""
"Q016","zh","为一款名为「会后」的 AI 会议助手设计一个中文产品官网首页。 产品能力： - 上传会议录音或接入在线会议 - 自动区分发言人 - 生成会议摘要、待办事项和负责人 - 将任务同步到飞书、Notion 和企业微信 目标用户： 10 到 100 人的创业团队、项目经理和销售团队。 页面目标： 让第一次访问的人在 10 秒内理解产品价值，并点击“免费试用”。 视觉方向： 克制、可信、有编辑感，不要常见的蓝紫渐变 SaaS 模板。 主色使用暖白和深墨色，以明亮橙色作为操作强调色。 页面包含： 首屏、使用流程、产品界面演示、三个核心场景、客户证言、 价格入口和页尾 CTA。 输出一个高保真的响应式 HTML 网站。 首屏按钮和产品演示区域需要…","","prototype","impeccable-serif-landing","easy","explicit: warm white, ink, orange, editorial, no gradients; truncated at 320 chars","583f38498e9f89b2f39445431a9eace13a68f488bf6fc198685061416e4b1950","2026-08-31","byok-opencode","","",""
"Q017","zh","我要制作一个供三甲医院人力资源部门使用的专业HR系统。 现在你需要：1.梳理所有三甲医院人力资源相关的业务SOP流程 2.根据业务流程设计系统","","prototype","","hard","SOP analysis before system design","836395c7180a32bcaa54a1ec2df9a56a6be66f3fc5fcfeed48a76c7bf866cdbb","2026-08-21","claude","","",""
"Q018","zh","想在mac上做个工具，能扫描到我本地各家agent，然后汇总统计token用量，有总览，能看见今日总token用量，请求数，缓存命中率","","prototype","impeccable-insight-dashboard","medium","macOS local tool dashboard","0db0f259fd16a78b04a0465cf3e60b4b0445bfca11de7a39c6fa74b6f528e932","2026-08-30","claude","","",""
"Q019","zh","帮我做一个介绍中药的ppt，15页左右，需要有精美动画，中药药材随意，你做决定","","ppt","slides-style-japanese-paper","medium","TCM deck; style is a guess","e501293f3b360676a5dbb7a407642176ec6ba8e6c87e3fde82701625be3df0a1","2026-08-23","deepseek-harness","","",""
"Q020","zh","设计一个身份权限平台，不需要大而全，我们来慢慢确认需求","","prototype","jp-ops-console","medium","IAM platform; incremental","9ea2bccf9d444652c764f51f795131e8f9f9f7df71e5db3e267c2a1df804b80b","2026-08-31","opencode","","",""
