Name,Description,URL,Tag
AEO Comparison Pages — The Narrow-Concession Playbook,"Build competitor comparison pages (vs., alternatives, best-of) engineered to be cited by AI Overviews, Perplexity, ChatGPT, and Google SGE. Position the product as the comprehensive default by conceding a narrow niche to each competitor. Based on the Rippling pattern: '[Competitor] is good for [narrow use-case]. [Product] is good for everything else.’",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/aeo-comparison-pages,
Build a Content Page,"Two-phase workflow for building content-driven web pages (comparison guides, listicles, how-to articles, pillar pages).",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/build-content-page,
Company Swarm: Account-Based Outreach from One Visitor,"Use when a high-fit visitor or company signal should become a reviewed ABM outreach plan: qualify the account, build a small Contact Tool roster, map personas/content, draft emails, and stagger sends.",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/company-swarm,
Create a Homepage from Scratch,"Build a production homepage from scratch while establishing the site's design system — brand theme tokens plus reusable, registered sections — so every later page can reuse it. Picks a visual direction from the lookbook or a reference the user already has.",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/create-homepage,
Email ICP Website Visitors,"Use when the user wants outbound from identified site visitors: rank high-fit visiting companies, resolve one verified work contact per company, create reviewable Gmail drafts, and export the queue.",,
GSC Keyword Optimization,"Find keywords that are already earning impressions for a page in Google Search Console but are missing from the page's content, then weave them in to lift CTR and rankings. Uses the connected GSC integration directly — no CSV export needed. Requires Google Search Console to be connected in workspace settings. Adapted from @hridoyreh (https://x.com/hridoyreh).",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/gsc-keyword-optimization,"content-optimization, ctr, google-search-console, gsc, integration-gsc-required, keyword-optimization, on-page-seo, search-analytics, seo"
Optimize Above-the-Fold Content,"Audit and rewrite the hero section of a landing page — headline, subheader, hero image, nav, and CTA — then ship the change. Based on the Demand Curve above-the-fold playbook.",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/optimize-above-the-fold,"above-the-fold, audit, conversion, copywriting, cro, hero, homepage, landing-page"
Publish Readiness — Take a Ploy Site Live on a Custom Domain,"Use when taking a Ploy site live on a custom domain, launching, connecting a domain, planning greenfield or cutover publishing, running a technical SEO audit, debugging crawlability/indexing/redirect/canonical/robots/sitemap issues, or when a code change is not showing up live. Read section-by-section; start with Important Context, then Phase 1; complete each phase before reading the next.",,"audittechnical, cutovergoing, domainrouting, livegreenfieldcustom, originreverse, proxyseorobots, publishpre, rulesfallback, seotrailing, slashcanonicalhostingaudit, txtsitemapseo"
"SEO & AEO Strategy System — APTK Framework, Keyword Research, Content Optimization","Comprehensive SEO and Answer Engine Optimization (AEO) methodology for keyword research, funnel-stage classification, topic clustering, content/on-page optimization, AI search visibility (AEO), competitive benchmarking, and measurement. For technical SEO audits — crawlability, indexing, redirects, canonicals, robots.txt, sitemaps, route coverage, or live-domain publishing — use publish-readiness instead. NOT for quick keyword lookups — load and execute the dataforseo tool through onDemandTools for those.",,"ai-search, aptk, competitive-analysis, content-strategy, keyword-research, measurement, on-page, on-page-seo, seo, topic-clustering, txtsitemapseo"
Analyze web traffic and visitor engagement,"Review site traffic, visitor quality, and engagement over a defined time window. Turn raw analytics into a clear report on what is working, what is weak, and what deserves action next.",https://ploy.ai/workspaces/9f4992d3-b3ea-4bad-9520-910846dd91e3/ploybooks/web-traffic-analysis,"analytics, dashboards, engagement, insights, traffic, visitors, web-analytics"
